company,ticker,date,close
"Caterpillar Inc",CAT,"2025-02-20 16:00:00",87.68
"Caterpillar Inc",CAT,"2025-02-21 16:00:00",89.5
"Caterpillar Inc",CAT,"2025-02-24 16:00:00",91.27
"Caterpillar Inc",CAT,"2025-02-25 16:00:00",91.43
"Caterpillar Inc",CAT,"2025-02-26 16:00:00",89.38
"Caterpillar Inc",CAT,"2025-02-27 16:00:00",90.58
"Caterpillar Inc",CAT,"2025-02-28 16:00:00",92.25
"Caterpillar Inc",CAT,"2025-03-03 16:00:00",93.15
"Caterpillar Inc",CAT,"2025-03-04 16:00:00",92.56
"Caterpillar Inc",CAT,"2025-03-05 16:00:00",93.19
"Caterpillar Inc",CAT,"2025-03-06 16:00:00",94
"Caterpillar Inc",CAT,"2025-03-07 16:00:00",94.65
"Caterpillar Inc",CAT,"2025-03-10 16:00:00",95.23
"Caterpillar Inc",CAT,"2025-03-11 16:00:00",94.73
"Caterpillar Inc",CAT,"2025-03-12 16:00:00",93.35
"Caterpillar Inc",CAT,"2025-03-13 16:00:00",94.71
"Caterpillar Inc",CAT,"2025-03-14 16:00:00",94.57
"Caterpillar Inc",CAT,"2025-03-17 16:00:00",94.79
"Caterpillar Inc",CAT,"2025-03-18 16:00:00",94.72
"Caterpillar Inc",CAT,"2025-03-19 16:00:00",94.02
"Caterpillar Inc",CAT,"2025-03-20 16:00:00",94.73
"Caterpillar Inc",CAT,"2025-03-21 16:00:00",93.11
"Caterpillar Inc",CAT,"2025-03-24 16:00:00",92.31
"Caterpillar Inc",CAT,"2025-03-25 16:00:00",87.87
"Caterpillar Inc",CAT,"2025-03-26 16:00:00",88.11
"Caterpillar Inc",CAT,"2025-03-27 16:00:00",87.6
"Caterpillar Inc",CAT,"2025-03-28 16:00:00",89.23
"Caterpillar Inc",CAT,"2025-03-31 16:00:00",89.76
"Caterpillar Inc",CAT,"2025-04-01 16:00:00",87.12
"Caterpillar Inc",CAT,"2025-04-02 16:00:00",86.6
"Caterpillar Inc",CAT,"2025-04-03 16:00:00",86.39
"Caterpillar Inc",CAT,"2025-04-04 16:00:00",81.47
"Caterpillar Inc",CAT,"2025-04-07 16:00:00",81.18
"Caterpillar Inc",CAT,"2025-04-08 16:00:00",78.95
"Caterpillar Inc",CAT,"2025-04-09 16:00:00",81.91
"Caterpillar Inc",CAT,"2025-04-10 16:00:00",77.55
"Caterpillar Inc",CAT,"2025-04-11 16:00:00",79.18
"Caterpillar Inc",CAT,"2025-04-14 16:00:00",79.17
"Caterpillar Inc",CAT,"2025-04-15 16:00:00",78.39
"Caterpillar Inc",CAT,"2025-04-16 16:00:00",76.46
"Caterpillar Inc",CAT,"2025-04-17 16:00:00",78
"Caterpillar Inc",CAT,"2025-04-21 16:00:00",77.85
"Caterpillar Inc",CAT,"2025-04-22 16:00:00",78.97
"Caterpillar Inc",CAT,"2025-04-23 16:00:00",78.74
"Caterpillar Inc",CAT,"2025-04-24 16:00:00",79.84
"Caterpillar Inc",CAT,"2025-04-25 16:00:00",82.74
"Caterpillar Inc",CAT,"2025-04-28 16:00:00",83.19
"Caterpillar Inc",CAT,"2025-04-29 16:00:00",84.71
"Caterpillar Inc",CAT,"2025-04-30 16:00:00",85.2
